Country,Code,Year,Tourism
Africa Eastern and Southern,,2019,39826701
Albania,ALB,2019,6406000
Algeria,DZA,2019,2371000
American Samoa,ASM,2019,52700
Andorra,AND,2019,8235000
Angola,AGO,2019,218000
Antigua and Barbuda,ATG,2019,1035000
Arab World,,2019,116080347
Argentina,ARG,2019,7399000
Armenia,ARM,2019,1894000
Aruba,ABW,2019,1951000
Australia,AUS,2019,9466000
Austria,AUT,2019,31884000
Azerbaijan,AZE,2019,3170000
Bahamas,BHS,2019,7250000
Bahrain,BHR,2019,11061000
Bangladesh,BGD,2019,323000
Barbados,BRB,2019,966000
Belarus,BLR,2019,11832000
Belgium,BEL,2019,9343000
Belize,BLZ,2019,1674000
Benin,BEN,2019,337000
Bermuda,BMU,2019,805000
Bhutan,BTN,2019,316000
Bolivia,BOL,2019,1239000
Bosnia and Herzegovina,BIH,2019,1198000
Brazil,BRA,2019,6353000
British Virgin Islands,VGB,2019,302400
Brunei,BRN,2019,333000
Bulgaria,BGR,2019,12552000
Burkina Faso,BFA,2019,143000
Cambodia,KHM,2019,6611000
Canada,CAN,2019,32430000
Cape Verde,CPV,2019,758000
Caribbean Small States,,2019,19819087
Cayman Islands,CYM,2019,2334000
Central Europe and the Baltics,,2019,314638365
Chile,CHL,2019,5431000
China,CHN,2019,162538000
Colombia,COL,2019,4529000
Comoros,COM,2019,45100
Costa Rica,CRI,2019,3366000
Cote d'Ivoire,CIV,2019,2070000
Croatia,HRV,2019,60021000
Cuba,CUB,2019,4276000
Curacao,CUW,2019,1293000
Cyprus,CYP,2019,4117000
Denmark,DNK,2019,32903000
Dominica,DMA,2019,322000
Dominican Republic,DOM,2019,7550000
Early-demographic dividend,,2019,369336989
East Asia & Pacific,,2019,487076537
East Asia & Pacific (IDA & IBRD),,2019,289303383
East Asia & Pacific (excluding high income),,2019,292914981
Ecuador,ECU,2019,2108000
Egypt,EGY,2019,13026000
El Salvador,SLV,2019,2639000
Estonia,EST,2019,6103000
Eswatini,SWZ,2019,1226000
Ethiopia,ETH,2019,812000
Europe & Central Asia,,2019,1183445652
Europe & Central Asia (IDA & IBRD),,2019,331270664
Europe & Central Asia (excluding high income),,2019,180724280
European Union,,2019,966435421
Fiji,FJI,2019,969000
Finland,FIN,2019,3290000
French Polynesia,PYF,2019,300000
Gambia,GMB,2019,619000
Georgia,GEO,2019,7726000
Germany,DEU,2019,39563000
Greece,GRC,2019,34005000
Grenada,GRD,2019,526000
Guam,GUM,2019,1667000
Guatemala,GTM,2019,2560000
Guinea-Bissau,GNB,2019,52400
Guyana,GUY,2019,315000
Haiti,HTI,2019,938000
High income,,2019,1487396176
Honduras,HND,2019,2315000
Hong Kong,HKG,2019,55913000
Hungary,HUN,2019,61397000
IBRD only,,2019,844994594
IDA & IBRD total,,2019,948013547
IDA only,,2019,76844520
IDA total,,2019,101793852
Iceland,ISL,2019,2202000
India,IND,2019,17914000
Indonesia,IDN,2019,16107000
Iran,IRN,2019,9107000
Ireland,IRL,2019,10951000
Israel,ISR,2019,4905000
Italy,ITA,2019,95399000
Jamaica,JAM,2019,4233000
Japan,JPN,2019,31882000
Jordan,JOR,2019,5361000
Kazakhstan,KAZ,2019,8515000
Kenya,KEN,2019,2049000
Kiribati,KIR,2019,12000
Kuwait,KWT,2019,8565000
Kyrgyzstan,KGZ,2019,8508000
Laos,LAO,2019,4791000
Late-demographic dividend,,2019,549832277
Latin America & Caribbean,,2019,201852567
Latin America & Caribbean (IDA & IBRD),,2019,172906909
Latin America & Caribbean (excluding high income),,2019,165231234
Latvia,LVA,2019,8342000
Least developed countries: UN classification,,2019,41000895
Lebanon,LBN,2019,1936000
Lesotho,LSO,2019,1142000
Liechtenstein,LIE,2019,98100
Lithuania,LTU,2019,6150000
Low & middle income,,2019,793124861
Lower middle income,,2019,195888686
Luxembourg,LUX,2019,1041000
Macao,MAC,2019,39406000
Madagascar,MDG,2019,486000
Malaysia,MYS,2019,26101000
Maldives,MDV,2019,1703000
Mali,MLI,2019,217000
Malta,MLT,2019,3519000
Marshall Islands,MHL,2019,6100
Mauritius,MUS,2019,1418000
Mexico,MEX,2019,97406000
Micronesia (country),FSM,2019,18000
Middle East & North Africa,,2019,127987048
Middle East & North Africa (IDA & IBRD),,2019,66910597
Middle East & North Africa (excluding high income),,2019,67608256
Middle income,,2019,757080294
Moldova,MDA,2019,174000
Monaco,MCO,2019,363000
Mongolia,MNG,2019,637000
Montenegro,MNE,2019,2510000
Morocco,MAR,2019,13109000
Mozambique,MOZ,2019,2033000
Myanmar,MMR,2019,4364000
Namibia,NAM,2019,1651000
Nepal,NPL,2019,1197000
Netherlands,NLD,2019,20129000
New Caledonia,NCL,2019,474000
New Zealand,NZL,2019,3888000
Nicaragua,NIC,2019,1455000
Niger,NER,2019,192000
North America,,2019,199244000
North Macedonia,MKD,2019,758000
Northern Mariana Islands,MNP,2019,487000
Norway,NOR,2019,5879000
OECD members,,2019,1342167593
Oman,OMN,2019,3506000
Other small states,,2019,51930012
Pacific island small states,,2019,1752270
Palau,PLW,2019,94000
Palestine,PSE,2019,688000
Panama,PAN,2019,2494000
Papua New Guinea,PNG,2019,211000
Paraguay,PRY,2019,4368000
Peru,PER,2019,5275000
Philippines,PHL,2019,8261000
Poland,POL,2019,88515000
Portugal,PRT,2019,17174000
Post-demographic dividend,,2019,1275198370
Puerto Rico,PRI,2019,4931000
Qatar,QAT,2019,2136500
Romania,ROU,2019,12815000
Russia,RUS,2019,24419000
Rwanda,RWA,2019,1634000
Saint Kitts and Nevis,KNA,2019,1107000
Saint Lucia,LCA,2019,1220000
Saint Vincent and the Grenadines,VCT,2019,392000
Samoa,WSM,2019,181000
San Marino,SMR,2019,1904000
Saudi Arabia,SAU,2019,20292000
Serbia,SRB,2019,1847000
Seychelles,SYC,2019,428000
Sierra Leone,SLE,2019,71000
Singapore,SGP,2019,19116000
Sint Maarten (Dutch part),SXM,2019,1952000
Slovenia,SVN,2019,4702000
Small states,,2019,74170634
Solomon Islands,SLB,2019,28900
South Africa,ZAF,2019,14797000
South Asia,,2019,26260132
South Asia (IDA & IBRD),,2019,26260132
South Korea,KOR,2019,17503000
Spain,ESP,2019,126170000
Sri Lanka,LKA,2019,2027000
Sub-Saharan Africa,,2019,55251254
Sub-Saharan Africa (IDA & IBRD),,2019,55251254
Sub-Saharan Africa (excluding high income),,2019,54779421
Sweden,SWE,2019,7616000
Switzerland,CHE,2019,11818000
Syria,SYR,2019,2424000
Tanzania,TZA,2019,1527000
Thailand,THA,2019,39916000
Timor,TLS,2019,74800
Togo,TGO,2019,876000
Tonga,TON,2019,94000
Trinidad and Tobago,TTO,2019,480000
Tunisia,TUN,2019,9429000
Turkey,TUR,2019,51747000
Turks and Caicos Islands,TCA,2019,1599000
Ukraine,UKR,2019,13710000
United Arab Emirates,ARE,2019,21553000
United Kingdom,GBR,2019,40857000
United States,USA,2019,166009000
United States Virgin Islands,VIR,2019,2074000
Upper middle income,,2019,564311982
Uruguay,URY,2019,3480000
Uzbekistan,UZB,2019,6749000
Vanuatu,VUT,2019,256000
Vietnam,VNM,2019,18009000
World,OWID_WRL,2019,2280131088
Zambia,ZMB,2019,1266000
Zimbabwe,ZWE,2019,2294000
